code_insee,commune,loyer_m2_maison,loyer_m2_appartement,nb_obs_maison,nb_obs_appartement,source,updated_at
05004,Ancelle,,13,0,124,Loyers (données publiques),2026-03-03T09:22:09.139Z
05006,L'Argentière-la-Bessée,,12,0,109,Loyers (données publiques),2026-03-03T09:22:09.139Z
05017,La Bâtie-Neuve,,13,0,111,Loyers (données publiques),2026-03-03T09:22:09.139Z
05023,Briançon,,14,0,1407,Loyers (données publiques),2026-03-03T09:22:09.139Z
05040,Chorges,,13,0,267,Loyers (données publiques),2026-03-03T09:22:09.139Z
05046,Embrun,,14,0,1060,Loyers (données publiques),2026-03-03T09:22:09.139Z
05061,Gap,13,12,519,6386,Loyers (données publiques),2026-03-03T09:22:09.139Z
05065,Guillestre,,12,0,356,Loyers (données publiques),2026-03-03T09:22:09.139Z
05070,Laragne-Montéglin,,9,0,583,Loyers (données publiques),2026-03-03T09:22:09.139Z
05119,Risoul,,14,0,161,Loyers (données publiques),2026-03-03T09:22:09.139Z
05132,Saint-Bonnet-en-Champsaur,,12,0,168,Loyers (données publiques),2026-03-03T09:22:09.139Z
05133,Saint-Chaffrey,,15,0,117,Loyers (données publiques),2026-03-03T09:22:09.139Z
05162,La Saulce,,13,0,181,Loyers (données publiques),2026-03-03T09:22:09.139Z
05166,Serres,,10,0,158,Loyers (données publiques),2026-03-03T09:22:09.139Z
05170,Tallard,,11,0,300,Loyers (données publiques),2026-03-03T09:22:09.139Z
05179,Veynes,,13,0,566,Loyers (données publiques),2026-03-03T09:22:09.139Z
06004,Antibes,20,20,442,15575,Loyers (données publiques),2026-03-03T09:22:09.139Z
06007,Auribeau-sur-Siagne,,19,0,201,Loyers (données publiques),2026-03-03T09:22:09.139Z
06010,Le Bar-sur-Loup,,16,0,109,Loyers (données publiques),2026-03-03T09:22:09.139Z
06011,Beaulieu-sur-Mer,,28,0,277,Loyers (données publiques),2026-03-03T09:22:09.139Z
06012,Beausoleil,,31,0,2023,Loyers (données publiques),2026-03-03T09:22:09.139Z
06015,Berre-les-Alpes,,14,0,145,Loyers (données publiques),2026-03-03T09:22:09.139Z
06018,Biot,23,21,188,606,Loyers (données publiques),2026-03-03T09:22:09.139Z
06025,Le Broc,,15,0,129,Loyers (données publiques),2026-03-03T09:22:09.139Z
06027,Cagnes-sur-Mer,20,20,323,9586,Loyers (données publiques),2026-03-03T09:22:09.139Z
06029,Cannes,22,20,279,16391,Loyers (données publiques),2026-03-03T09:22:09.139Z
06030,Le Cannet,19,19,207,7656,Loyers (données publiques),2026-03-03T09:22:09.139Z
06032,Cap-d'Ail,,31,0,261,Loyers (données publiques),2026-03-03T09:22:09.139Z
06033,Carros,21,19,102,1125,Loyers (données publiques),2026-03-03T09:22:09.139Z
06038,Châteauneuf-Grasse,,17,0,253,Loyers (données publiques),2026-03-03T09:22:09.139Z
06044,La Colle-sur-Loup,21,18,111,468,Loyers (données publiques),2026-03-03T09:22:09.139Z
06046,Colomars,,20,0,151,Loyers (données publiques),2026-03-03T09:22:09.139Z
06048,Contes,,16,0,285,Loyers (données publiques),2026-03-03T09:22:09.139Z
06054,Drap,,17,0,415,Loyers (données publiques),2026-03-03T09:22:09.139Z
06057,L'Escarène,,14,0,288,Loyers (données publiques),2026-03-03T09:22:09.139Z
06059,Èze,,27,0,158,Loyers (données publiques),2026-03-03T09:22:09.139Z
06064,Gattières,,19,0,199,Loyers (données publiques),2026-03-03T09:22:09.139Z
