code_insee,commune,prix_m2_maison,prix_m2_appartement,nb_ventes_maison,nb_ventes_appartement,source,updated_at
"410","410",1924.55,1583.33,224,133,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"650","650",2237.11,5151.81,247,110,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"368","368",2298.85,2813.79,177,178,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"327","327",2096.77,2282.09,210,141,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"331","331",1745.70,2127.98,286,60,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"545","545",2297.10,3834.15,148,196,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"254","254",1909.09,2185.71,295,47,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"309","309",1774.45,3782.78,250,89,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"413","413",1853.66,2458.75,213,124,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"346","346",2379.81,3618.75,280,55,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"267","267",2078.70,2984.69,292,42,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"302","302",2088.61,2338.58,299,35,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"451","451",2353.48,2132.41,221,112,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"409","409",2006.25,1939.04,163,170,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"367","367",1834.86,2418.48,255,77,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"317","317",2208.33,2653.26,245,86,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"298","298",2214.29,3391.30,229,99,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"486","486",1703.54,2868.57,259,65,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"551","551",2375.26,6474.57,106,217,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"241","241",2017.75,2958.59,278,44,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"397","397",2100.00,3288.13,253,68,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"313","313",2246.78,4366.67,188,132,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"334","334",2200.63,3330.73,233,85,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"462","462",2410.26,2671.23,187,131,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"352","352",2288.89,3333.33,263,53,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"353","353",2318.11,3065.57,246,69,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"283","283",2210.00,2216.42,206,107,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"347","347",1692.05,3087.78,235,78,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"277","277",2201.88,3333.33,243,70,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"337","337",2451.79,2814.53,236,76,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"358","358",2208.33,5367.09,219,93,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"681","681",2307.69,2319.15,169,141,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"377","377",2583.33,3992.75,165,144,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
